step,t,true_n,true_e,true_d,true_vn,true_ve,true_vd,true_qw,true_qx,true_qy,true_qz,true_wx,true_wy,true_wz,est_n,est_e,est_d,est_vn,est_ve,est_vd,est_qw,est_qx,est_qy,est_qz,est_wx,est_wy,est_wz,m0,m1,m2,m3,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz
14,0.056000,0.000000,-0.000000,-4.989433,0.000000,-0.000000,0.294887,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.819923,0.000000,0.000000,0.245390,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527354,0.527354,0.527354,0.527354,0.000000,0.000000,-6.872703,0.000000,0.000000,0.000000
15,0.060000,0.000000,-0.000000,-4.988215,0.000000,-0.000000,0.304494,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.829987,0.000000,0.000000,0.255338,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527755,0.527755,0.527755,0.527755,0.000000,0.000000,-7.151259,0.000000,0.000000,0.000000
16,0.064000,0.000000,-0.000000,-4.986962,0.000000,-0.000000,0.313154,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.838662,0.000000,0.000000,0.264304,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528132,0.528132,0.528132,0.528132,0.000000,0.000000,-7.408167,0.000000,0.000000,0.000000
17,0.068000,0.000000,-0.000000,-4.985679,0.000000,-0.000000,0.320939,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.846183,0.000000,0.000000,0.272361,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528483,0.528483,0.528483,0.528483,0.000000,0.000000,-7.645119,0.000000,0.000000,0.000000
18,0.072000,0.000000,-0.000000,-4.984367,0.000000,-0.000000,0.327918,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.852736,0.000000,0.000000,0.279578,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528804,0.528804,0.528804,0.528804,0.000000,0.000000,-7.863667,0.000000,0.000000,0.000000
19,0.076000,0.000000,-0.000000,-4.983030,0.000000,-0.000000,0.334153,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.858468,0.000000,0.000000,0.286021,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529096,0.529096,0.529096,0.529096,0.000000,0.000000,-8.065237,0.000000,0.000000,0.000000
20,0.080000,0.000000,-0.000000,-4.981672,0.000000,-0.000000,0.339703,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.863498,0.000000,0.000000,0.291748,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529358,0.529358,0.529358,0.529358,0.000000,0.000000,-8.251139,0.000000,0.000000,0.000000
21,0.084000,0.000000,-0.000000,-4.980293,0.000000,-0.000000,0.344620,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.867923,0.000000,0.000000,0.296815,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529590,0.529590,0.529590,0.529590,0.000000,0.000000,-8.422578,0.000000,0.000000,0.000000
22,0.088000,0.000000,-0.000000,-4.978898,0.000000,-0.000000,0.348955,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.871823,0.000000,0.000000,0.301273,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529795,0.529795,0.529795,0.529795,0.000000,0.000000,-8.580664,0.000000,0.000000,0.000000
23,0.092000,0.000000,-0.000000,-4.977486,0.000000,-0.000000,0.352752,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-4.875265,0.000000,0.000000,0.305168,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529972,0.529972,0.529972,0.529972,0.000000,0.000000,-8.726419,0.000000,0.000000,0.000000
